	       time	   Inlet_SPL_db       Origin_SPL_db     Top_Wall_SPL_db	 Bottom_Wall_SPL_db	  Outlet_SPL_db
             0.1282   -0.00018538785757     0.0129105277453   -0.00678014578442     0.0103409491524   1.13930366674e-05
             0.1284  -0.000457493570002     0.0120813520816   -0.00355537255978     0.0101969274994   2.20567779911e-05
             0.1286  -0.000597905197786    0.00975537228485  -0.000288048206036    0.00924206744181   2.81691300718e-05
             0.1288   -0.00057751171075    0.00580228249798    0.00256160012775    0.00759706240564   2.68720091022e-05
              0.129  -0.000419054781761   0.000536183078929      0.004640967136    0.00545759451817   1.77830914523e-05
             0.1292  -0.000186830542241   -0.00534171509835    0.00578068189077     0.0030787807461   3.18502677062e-06
             0.1294   3.68604668682e-05    -0.0109185759247    0.00602623785501   0.000750625848742  -1.27475880552e-05
             0.1296   0.000177638728264    -0.0153118186618    0.00561578585936   -0.00123514639019  -2.54088571339e-05
             0.1298   0.000189844519841    -0.0178981467596    0.00490777843227   -0.00262355265239  -3.13826312116e-05
               0.13   6.92396709785e-05    -0.0184541187398    0.00427594203631   -0.00323411355283  -2.96344976933e-05
             0.1302  -0.000143748655475    -0.0171720213002    0.00399918986827    -0.0029906248164  -2.18376218467e-05
             0.1304  -0.000373434353987    -0.0145609041956    0.00417724921565   -0.00193624467604   -1.1709847218e-05
             0.1306  -0.000530993980349    -0.0112760464769     0.0046973374451  -0.000229648214324  -3.60363269951e-06
             0.1308  -0.000541094382001   -0.00793665552184    0.00526398752251    0.00187836586356  -8.70415387507e-07
              0.131  -0.000363305797852   -0.00498450805949    0.00548638283939    0.00408454878586  -4.61036376313e-06
             0.1312   -2.8690417612e-06   -0.00261356346131    0.00500030684381    0.00608267418222  -1.32793648163e-05
             0.1314    0.00049038976612  -0.000780015202113    0.00359032656913    0.00761440570991  -2.33053945221e-05
             0.1316    0.00103315132902   0.000715177415018    0.00127600798138    0.00851276034475  -3.04844241141e-05
